,sentence
0,bush and gorbachev will hold two days of informal talks next month .
1,the president said that he and the kremlin leader would meet dec. 2-3 aboard u.s. and soviet naval vessels in the mediterranean to discuss a wide range of issues without a formal agenda .
2,a simultaneous announcement was made in moscow .
3,bush said that neither he nor gorbachev expected any `` substantial decisions or agreements . ''
4,"the seaborne meetings wo n't disrupt plans for a formal summit next spring or summer , at which an arms-control treaty is likely to be completed ."
5,"the two leaders are expected to discuss changes sweeping the east bloc as well as human-rights issues , regional disputes and economic cooperation ."
6,"israel 's army lifted a blockade around a palestinian town in the occupied west bank , ending a 42-day campaign of seizing cars , furniture and other goods to crush a tax boycott ."
7,"while residents claimed a victory , military authorities said they had confiscated the equivalent of more than $ 1.5 million to make up for the unpaid taxes ."
8,east german leader krenz arrived in moscow for talks today with gorbachev on restructuring proposals .
9,"in east berlin , communist party officials considered legalizing new forum , the country 's largest opposition alliance , as about 20,000 demonstrators staged protests in three cities to press demands for democratic freedoms ."
